biome,sample,Firmicutes,Bacteroidetes,Unassigned,Proteobacteria,Chordata,Actinobacteria,Cyanobacteria,Verrucomicrobia,Tenericutes,Fusobacteria,Euryarchaeota,Others
gut,ERR1762123,0.9080741,0.000262146,0.088518001,0.001092275,0,0.000786438,0,0.000218455,0.000131073,8.74E-05,0,0.000830129
gut,ERR2198647,0.90321679,0.018957112,0.055564233,0.002795064,0,0.014994698,5.75E-05,0.000238403,0.000263065,0.003855545,0,5.75E-05
gut,ERR1762128,0.902586085,0.000235527,0.091667059,0.000847897,0,0.00315606,0,0,4.71E-05,0,0,0.001460267
gut,ERR1762127,0.902188392,0.000237869,0.09224548,0.00114177,0,0.002521408,0,0,0,0,0,0.001665081
gut,ERR1762130,0.902153758,0.000380355,0.093424618,0.000618076,0,0.002091951,0,0.000237722,0,0,0,0.00109352
gut,ERR1762129,0.901431375,0.000143616,0.094212265,0.000670209,0,0.002441476,0,9.57E-05,9.57E-05,0,0,0.00090957
gut,ERR675540,0.888888889,0,0.111111111,0,0,0,0,0,0,0,0,0
gut,ERR525957,0.88624189,0.000163681,0.056990655,0.051023749,0,0.003809297,0.000520802,0,0.000208321,0.000148801,0,0.000892804
gut,ERR525840,0.878092843,0.000898284,0.040762144,0.050393748,0,0.029473705,2.00E-05,3.99E-05,0.000139733,0.000119771,0,5.99E-05
gut,ERR1762134,0.874503968,0.00031002,0.107824901,0.001550099,0,0.014508929,6.20E-05,6.20E-05,0.000372024,0,0,0.000806052
gut,ERR1762131,0.87400892,0.000185828,0.105983647,0.00173439,0,0.016786422,0.000123885,0.000309713,0.000371655,0,0,0.00049554
gut,ERR1762133,0.873373219,0.000123358,0.10707457,0.001603651,0,0.016961697,0.000123358,0.000123358,6.17E-05,6.17E-05,0,0.000493431
gut,ERR525754,0.869570051,0.00557488,0.068756849,0.016025794,0,0.038912978,0.000270008,0,0.000571783,7.94E-05,0,0.000238243
gut,ERR1762132,0.868733592,0.000250031,0.112264033,0.001625203,0,0.015876985,0.000125016,0.000125016,0.000250031,0,0,0.000750094
gut,ERR526081,0.865533573,0.000151649,0.059936541,0.066469133,0,0.00458448,0.000979889,0,0.000839905,0,0,0.001504829
gut,ERR675585,0.863636364,0,0.045454545,0,0,0,0,0,0.090909091,0,0,0
