ID,Type,Group,Acidobacteria,Actinobacteria,Alveolata,Amoebozoa,Aquificae,Bacteroidetes,Balneolaeota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deinococcus-Thermus,Diplomonadida,dsDNA,dsRNA,Elusimicrobia,environmental,Euglenozoa,Euryarchaeota,Fibrobacteres,Firmicutes,Fungi,Fusobacteria,Gemmatimonadetes,Kiritimatiellaeota,Metazoa,Nanoarchaeota,Nitrospirae,Nucleariidae,Parabasalia,Planctomycetes,Proteobacteria,Retro-transcribing,Rhizaria,Rhodothermaeota,Spirochaetes,ssRNA,Stramenopiles,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,unclassified,Verrucomicrobia,Viridiplantae
PF14155,soil,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14206,soil,4,0,0.291044776,0,0,0,0.104477612,0,0,0,0,0,0,0,0,0,0,0,0,0.02238806,0,0.276119403,0.007462687,0,0,0,0,0,0,0,0,0.014925373,0.276119403,0,0,0,0,0,0,0,0,0,0,0,0.007462687,0,0
PF14230,soil,4,0.005494505,0.983516484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14242,soil,4,0,0.138211382,0,0,0,0.154471545,0.008130081,0,0.040650407,0,0.008130081,0,0,0,0,0,0,0,0,0,0.544715447,0,0,0.016260163,0,0,0,0,0,0,0,0.048780488,0,0,0.016260163,0.016260163,0,0,0,0,0,0,0,0.008130081,0,0
PF14248,soil,4,0,0.218045113,0,0,0,0.165413534,0.003759398,0,0.007518797,0,0,0,0,0,0,0,0,0,0,0,0.007518797,0.018796992,0,0.003759398,0,0.003759398,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14325,soil,4,0.003937008,0.88976378,0,0,0,0.007874016,0,0,0,0,0.003937008,0,0,0,0,0,0,0,0.003937008,0,0.039370079,0,0,0,0,0.003937008,0,0.003937008,0,0,0,0.043307087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14326,soil,4,0,0,0,0,0,0.103448276,0,0,0.00862069,0,0.00862069,0.060344828,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0.025862069,0,0,0.00862069,0.75,0,0,0.00862069,0,0,0,0,0,0,0,0.00862069,0,0.00862069,0
PF14330,soil,4,0,0.174193548,0,0,0,0.019354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212903226,0.251612903,0,0,0,0,0,0,0,0,0,0.335483871,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0
PF14332,soil,4,0.037037037,0,0,0,0.074074074,0,0,0,0.166666667,0,0.037037037,0.12962963,0,0,0,0,0,0,0,0.018518519,0,0,0,0.037037037,0,0,0,0,0,0,0.037037037,0.444444444,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0
PF14333,soil,4,0,0.448275862,0,0,0,0.021551724,0,0,0.017241379,0,0,0,0,0,0,0,0.004310345,0,0.00862069,0,0,0,0,0.004310345,0,0,0,0,0,0,0,0.49137931,0,0,0,0.004310345,0,0,0,0,0,0,0,0,0,0
